Title,Company,Location,Short Description,Link
Data Analyst,Western Health,St Albans,"A unique opportunity exists to join the Western Public Health Unit in the role of Data Analyst within the Data, Epidemiology, and Surveillance team.",https://www.seek.com.au/job/86244018?type=standard&ref=search-standalone&origin=cardTitle#sol=61cc5a58788a975ad5f1e4a28abb50a20d64c91e
Population Health Data Analyst,South Eastern Melbourne Primary Health Network,Heatherton,Analyse data to drive population health planning,https://www.seek.com.au/job/86312389?type=standard&ref=search-standalone&origin=cardTitle#sol=613c709de69c6a4b9c05d60007470d2002904460
Data Analyst,Western Health,Williamstown,Drive data-driven insights and improve organisational performance at Western Health.,https://www.seek.com.au/job/86238954?type=standard&ref=search-standalone&origin=cardTitle#sol=dfa0f853cd284b141a0cd192f42c5004d592c0d5
Data Analyst,Western Health,Footscray,"Excellent data management and problem skills, a strong eye for detail, and the ability to apply your analytical and critical thinking...",https://www.seek.com.au/job/86244700?type=standard&ref=search-standalone&origin=cardTitle#sol=c760dc6bfff4eb3b5cd9a854f7c86cbd7dbaf6b0
Senior Analyst,Alfred Health,Melbourne VIC,"Permanent Full Time (1.0 EFT / 80 Hours) + ADO
Managers and Administrative Worker Grade 5
Location: The Alfred 541 St Kilda Road
Great Staff Benefits",https://www.seek.com.au/job/86301836?type=standard&ref=search-standalone&origin=cardTitle#sol=a2dd63ba4a6b95cc398e0aa6d24687430a929591
Graduate Reporting Analyst,Teachers Health Fund,Sydney NSW,"Start your data career with purpose, impact, and growth at Teachers Healt",https://www.seek.com.au/job/86332428?type=standard&ref=search-standalone&origin=cardTitle#sol=e5bc2dea8f67c840785291b0024060457ad55b55
Drug and Alcohol Data Support Officer,Northern Sydney Local Health District,St Leonards,Utilise your training and resource development skills to assist clinicians in mastering the electronic medical records for positive health outcomes.,https://www.seek.com.au/job/86241752?type=standard&ref=search-standalone&origin=cardTitle#sol=0c561d1713eeff79f48526059d5f4b81fb6869c8
Data Analyst - Ability Roundtable,Ability First Australia,Sydney NSW,"Join the leader in disability sector benchmarking, driving service improvements for members and better outcomes for people with disability.",https://www.seek.com.au/job/85660319?type=standard&ref=search-standalone&origin=cardTitle#sol=c1e6dc28a1575325ab72ba51bb30313bc8a4b50a
Technical Analyst,Independent Health and Aged Care Pricing Authority,Sydney NSW,IHACPA is looking for a motivated Technical Analyst to join the Aged Care Pricing section,https://www.seek.com.au/job/85825048?type=standard&ref=search-standalone&origin=cardTitle#sol=105a0e6bb643ac7ef3d4a3dc6a2ed34ac6998a1d
Data Officer,Western Health,St Albans,"The Data Officer supports data management, reporting, and quality assurance for AOD programs, ensuring accurate submissions & performance monitoring",https://www.seek.com.au/job/86185375?type=standard&ref=search-standalone&origin=cardTitle#sol=65b0af7914c589a09d076a3b2e32354abc6bb658
Junior Data Analyst,Trilogy Care Pty Ltd,Brisbane QLD,"Be part of the future of aged care. Use Databricks, AI, and analytics to create better outcomes for our clients and more time for human connection.",https://www.seek.com.au/job/86335488?type=standard&ref=search-standalone&origin=cardTitle#sol=d2968ad5bc9a3305513aa31a30997f6b222fd9fa
Informatics Officer,Metro South Health,Cleveland,"Join Metro South Health as an Informatics Officer. Ensure data quality, enjoy flexible work, great benefits, and grow your career!",https://www.seek.com.au/job/86085162?type=standard&ref=search-standalone&origin=cardTitle#sol=179d67d28df448b06b8acc07b005b17074aec89e
Graduate Reporting Analyst,Teachers Health Fund,Brisbane QLD,"Start your data career with purpose, impact, and growth at Teachers Healt",https://www.seek.com.au/job/86344234?type=standard&ref=search-standalone&origin=cardTitle#sol=9837ef4cbae24e5ee795436576a34418f39a3fc6
Project Coordinator,WorkSafe Victoria,Melbourne VIC,"Help shape the future of workplace safety in Victoria, while growing your career in a supportive environment",https://www.seek.com.au/job/86257388?type=standard&ref=search-standalone&origin=cardTitle#sol=4ba5145d70ff8253bc221bdfceda859940975971
"APS6 Project Officer, Indicator Development",Australian Commission on Safety and Quality in Health Care,Sydney NSW,"The role contributes the Indicator Development team's work with focus on the development, revision and implementation of safety and quality indicators",https://www.seek.com.au/job/86274217?type=standard&ref=search-standalone&origin=cardTitle#sol=2d0c181e7bc5c486d7d9e4fbd1050991911f7e2d
Digital Patient Navigator,Valion Health,Melbourne VIC,"The Patient Navigator has an integral role at Valion Health, assist participants as well as support management, team and referring organisations.",https://www.seek.com.au/job/86051653?type=standard&ref=search-standalone&origin=cardTitle#sol=162fb89c19a431dc97734eb59d75455db7b22418
Customer Support Data Analyst,Mazda Australia,Mulgrave,Drive impact with data — turn insights into action and shape exceptional customer experiences as Mazda’s Customer Service Data Analyst.,https://www.seek.com.au/job/86049877?type=standard&ref=search-standalone&origin=cardTitle#sol=8b7719ed5dd062f151bfa2f0ed8711b571614b3a
Data Specialist - Clinical Trials,Chris O'Brien Lifehouse,Camperdown,Transform cancer care through data-driven clinical trials research as Part Time Data Specialist at Lifehouse,https://www.seek.com.au/job/86062126?type=standard&ref=search-standalone&origin=cardTitle#sol=66ce7299d714dc68a3b4506e08e9a833304e242d
Data Cleansing Officer,Department of Health - Queensland,Bowen Hills,"Identify, analyse and cleanse data to identify discrepancies, inaccuracies, or outdated information",https://www.seek.com.au/job/86214808?type=standard&ref=search-standalone&origin=cardTitle#sol=25abc7d0dd2c8251207fec302e025369f1b08d2b
Junior/Intermediate Data Analyst,Hyundai Rotem Company,North Ryde,Data driven analytical thinker with a passion for turning complex datasets into actionable insights!,https://www.seek.com.au/job/86342226?type=standard&ref=search-standalone&origin=cardTitle#sol=ed09a9e85e375e23b74da8e3ef01d2ccad4cf854
Data Analyst,University of Wollongong,Wollongong,"Support national palliative care improvements through data analysis, dashboard development, and innovation at UOW’s Innovation Campus.",https://www.seek.com.au/job/86259307?type=standard&ref=search-standalone&origin=cardTitle#sol=74df855ad5793ebefd21617d010555b7b8635a82
Cancer Senior Data and Information Analyst,Grampians Health,Ballarat,Join a dynamic team committed to excellence in healthcare with a rewarding role. Your journey to meaningful work starts here.,https://www.seek.com.au/job/85906214?type=standard&ref=search-standalone&origin=cardTitle#sol=80d3626fdc292b2b23599417b44207530f3bcfef
