Title,Company,Location,Short Description,Link,full description
Data Analyst,Western Health,St Albans,"A unique opportunity exists to join the Western Public Health Unit in the role of Data Analyst within the Data, Epidemiology, and Surveillance team.",https://www.seek.com.au/job/86244018?type=standard&ref=search-standalone&origin=cardTitle#sol=61cc5a58788a975ad5f1e4a28abb50a20d64c91e,"Location:
Sunshine Hospital
Employment Type:
Fixed Term, Full Time until 4 September 2026
Salary:
HS5
About the role:
The Western Public Health Unit (WPHU) has been established to strengthen the public health response to communicable diseases and other health issues. The unit is part of a system of three metropolitan public health units and six regional units that provide a state-wide network of public health delivery and oversight.
WPHU is led and coordinated by Western Health and responsible for approximately 1.4M people in the LGAs of Maribyrnong, Moonee Valley, Hobson's Bay, Merri-bek, Melbourne, Brimbank, Melton and Wyndham. Local public health units have responsibility for management of almost all notifiable conditions under the Public Health and Wellbeing Act (2008) alongside the Department of Health (DH), as well as non-communicable disease and health promotion activities in their assigned catchments, as part of the state's overall public health response.
The Data Analyst is a member of the Data, Epidemiology and Surveillance (DES) team. The role reports to the Deputy Director, working closely with teams across the unit.
Key responsibilities:
Provide data management, report development, analytical and data visualisation support to the Western Public Health Unit
Strong communication skills to train and support other staff in data management and be able to translate operational and research questions into analytic projects
Design, develop, maintain, and operate systems for automation of current WPHU processes
Develop, maintain, implement and iteratively improve automated reports using Microsoft Power BI and R to meet internal and external WPHU reporting needs
About you:
Excellent data management and problem skills, a strong eye for detail, and the ability to apply your analytical and critical thinking skills
Advanced proficiency with R, SQL, Power-BI and Microsoft Excel (including use of Power Query)
Proven ability to design, develop, and implement reports and analyses for end-users to meet their specific data needs
Relevant tertiary qualification in data science, analytics, or similar, or proven success in a similar role
Position Description
About Western Health
Western Health is one of the largest healthcare providers in Victoria, caring for a vibrant, diverse and rapidly growing community of one million people in Melbourne's western suburbs.
With more than 13,000 staff, Western Health delivers 800,000+ occasions of care every year, providing high-quality, person-centred care across every life stage.
We provide a combination of hospital, community-based, at-home and in-reach services to aged, adult and paediatric patients and newborn babies. Specialties include oncology, renal, mental health, women's health and maternity, chronic diseases, geriatrics and cardiology.
We have remarkable strengths in chronic disease, complex care and developing innovative and sustainable healthcare solutions. Our experience at the coalface of healthcare delivery for some of Australia's most culturally and socioeconomically diverse and vulnerable populations provides us with unique insights into the most pressing health challenges.
Western Health operates four acute public hospitals: Sunshine Hospital (including Joan Kirner Women's and Children's), Footscray Hospital, Williamstown Hospital and Bacchus Marsh Hospital. We also operate Sunbury Community Hospital, Sunshine Mental Health and Wellbeing Centre, Melton Health and Community Services, Bacchus Marsh Community Health Centre, Caroline Springs Community Health Centre and Grant Lodge Residential Aged Care in Bacchus Marsh. Western Health also provides the primary healthcare service at the Dame Phyllis Frost Centre, a women's prison located in Ravenhall.
Why join us?
Compensation and benefits
Competitive salary packages aligned with market standards.
Health and wellbeing programs, including flexible work arrangements.
Scholarships and grants to support your continuous learning journey.
Learning and development opportunities
Access the Western Health Learning Academy (WHA) for personalised learning pathways.
Professional growth programs, including postgraduate studies and clinical education.
Mentorship and career support.
Community impact and inclusion
Make a meaningful difference in patients' lives through compassionate care.
Join a workforce that champions diversity and inclusion.
Engage in community wellbeing initiatives and groundbreaking healthcare research.
Organisational culture and environment
Thrive in a collaborative, compassionate and innovative team environment.
Be part of a culture that celebrates continuous improvement and excellence in healthcare.
Ready to make an impact?
Simply click on the ""apply"" button and follow the prompts.
If you are currently employed at Western Health, please ensure you sign in through the 'Employee Login' via the external Careers Page or access the Careers Page via the intranet before applying.
Closing date:
11:59pm on 15 August 2025.
Enquiries:
For further information about this role, contact Charles Alpren (Deputy Director - Public Health Unit) via email
Charles.Alpren@wh.org.au
.
Western Health is an equal opportunity employer committed to attracting and retaining diversity in our workforce. We encourage applications from Aboriginal and Torres Strait Islander people.
Western Health is committed to providing a safe environment for the children and young people who are involved in our services, sites and operations. We follow and abide by all legislative requirements to keep children and young people safe.
All appointments are made subject to a satisfactory Police Record Check, an Immunisation Status Clearance and a Working with Children Check (if applicable).
Western Health does not accept unsolicited resumes/applications from recruitment agencies."
Population Health Data Analyst,South Eastern Melbourne Primary Health Network,Heatherton,Analyse data to drive population health planning,https://www.seek.com.au/job/86312389?type=standard&ref=search-standalone&origin=cardTitle#sol=613c709de69c6a4b9c05d60007470d2002904460,"We're Hiring: Population Health Data Analyst
Location:
Heatherton, Melbourne | Hybrid: 3 days in office / 2 days WFH
Contract:
12-month full-time (until 30 June 2026)
Play a critical role in shaping health services through data-driven insights.
South Eastern Melbourne Primary Health Network (SEMPHN) is seeking a skilled and passionate
Population Health Data Analyst
to join our Data, Evidence and Impact Services team. Make a meaningful impact on the health and wellbeing of 1.6 million people across southeast Melbourne.
Who We Are
SEMPHN is a not-for-profit organisation dedicated to creating a more person-centred, equitable and connected health system. We work across a wide range of priority areas including mental health, alcohol and other drugs, Aboriginal and Torres Strait Islander health, aged care, population health, digital health, and workforce development.
By delivering planning, commissioning, and capacity-building initiatives, we aim to strengthen primary healthcare and meet the needs of our local communities. Our strategic framework,
Path to Impact
, ensures our work is grounded in evidence, aligned to community needs, and focused on delivering tangible, measurable outcomes across the health system.
About the Role
This role is pivotal in supporting SEMPHN’s health planning and commissioning through deep analysis and strategic insight. You’ll be involved in the full data lifecycle — from extracting and modelling data, to interpreting and presenting insights that inform high-level decision-making.
Key responsibilities include:
Designing and conducting population health needs assessments to identify service gaps and opportunities
Analysing health and service utilisation data to inform program development and regional planning
Developing dashboards and visualisations using tools like R, Python, and Power BI
Preparing high-quality reports and presentations tailored to a range of audiences
Collaborating with internal teams, government stakeholders, service providers, and academic institutions
Monitoring and evaluating data trends and providing timely insights to support continuous improvement
Supporting innovative use of GP practice-level data for service planning and evaluation
Triangulating qualitative and quantitative data to build compelling evidence stories
This role combines technical analysis with strategic thinking and a focus on real-world health outcomes.
About You
You are a data professional who is passionate about improving population health. You enjoy working in collaborative environments and can turn complex data into accessible, meaningful information for decision-makers.
You will bring:
A degree in public health, epidemiology, biostatistics, health sciences, data analytics or a related field
Proven experience working with health or community data to support planning, evaluation or research
Strong statistical analysis skills using R, Python, or SAS
Proficiency in data visualisation tools such as Power BI or Tableau
A solid understanding of the social determinants of health and the Australian healthcare landscape
Experience preparing and presenting clear, insightful reports to both technical and non-technical stakeholders
The ability to manage competing priorities, meet deadlines and work across multiple projects
A proactive, inquisitive mindset and the ability to think critically and innovatively
Strong interpersonal skills to collaborate with internal and external partners
Desirable attributes:
Knowledge of health economics or market analysis
Experience with GP practice-level data
Experience in government or not-for-profit health sectors
Why You’ll Love Working With Us
Salary packaging options to increase your take-home pay
Hybrid and flexible working arrangements to support work-life balance
Paid parental leave, carers leave and additional festive leave
Access to free employee wellbeing and support programs
A values-led, purpose-driven team culture where your work has real impact
The opportunity to help build a more connected and effective healthcare system
Applications close: COB 20 August 2025
Interviews may commence earlier for suitable candidates.
SEMPHN values fairness, equity and inclusion. We strongly encourage applications from Aboriginal and Torres Strait Islander peoples, people with disability, culturally and linguistically diverse communities, and LGBTIQ+ individuals.
For more information about us, visit: semphn.org.au"
Data Analyst,Western Health,Williamstown,Drive data-driven insights and improve organisational performance at Western Health.,https://www.seek.com.au/job/86238954?type=standard&ref=search-standalone&origin=cardTitle#sol=dfa0f853cd284b141a0cd192f42c5004d592c0d5,"Location:
Williamstown Hospital
Employment Type:
Ongoing, Full Time
Salary:
Approx. $100,000 per annum + Super + Salary Packaging
About the role
The Performance Analyst supports decision-making across the organisation by collecting, analysing, and interpreting data to generate actionable insights. This role is responsible for ensuring data accuracy and integrity, developing meaningful reports and visualisations, and collaborating with stakeholders to meet business objectives.
In this role, you will perform data analysis to generate insights and support decision-making processes. Develop and maintain dashboards and visualisations to effectively communicate insights and performance metrics. Identify opportunities for process improvements through data-driven insights and automation.
You will play a key role in promoting a data-driven culture and enhancing organisational performance through evidence-based analysis. This role requires an individual with the ability to develop strong working relationships with business stakeholders including Executive Management, Clinical and Non Clinical Directors, and the ability to both understand and support their business, management and information requirements.
Located at Williamstown Hospital, this role offers a hybrid working environment, one ADO/month and 5 weeks leave.
Essential Selection Criteria
Relevant tertiary qualification and/or proven success in a similar role.
Strong skills in SQL and data manipulation, with the ability to query, join, and transform data from various sources.
Solid understanding of Power BI, with experience in advanced data modeling, dynamic visual creation, DAX and leveraging AI-driven insights.
Intermediate proficiency in Microsoft Excel, including Power Pivot, VLOOKUP
Highly developed data analysis and reporting skills.
Key responsibilities:
Perform exploratory analysis to identify trends, patterns and actionable insights.
Identify trends and patterns in data and build machine learning and AI support to identify these patterns for pro-active alerts
Conduct ad hoc analyses and deep dives into data to support business decision-making
Provide support to key stakeholders in relation to interpreting and analysing patient activity data and related performance metrics. This includes support for WH research projects, ad hoc data requests and issues as they arise.
Regularly analyse and report on organisational performance in line with relevant key performance indicators, researching performance issues and identifying opportunities for improvement.
Work closely with other Performance Unit staff to assist with continued development and enhancement of the Monitoring and Performance (MaP) business intelligence reporting system.
Provide support to staff with data extraction, reporting and analytics as required for data from WH including Cerner Electronic Medical Record (EMR).
Provide support in the development of target models to assist the organisation in achieving externally and internally set operational and funding targets.
Position Description
About Western Health
Western Health is one of the largest healthcare providers in Victoria, caring for a vibrant, diverse and rapidly growing community of one million people in Melbourne's western suburbs.
With more than 13,000 staff, Western Health delivers 800,000+ occasions of care every year, providing high-quality, person-centred care across every life stage.
We provide a combination of hospital, community-based, at-home and in-reach services to aged, adult and paediatric patients and newborn babies. Specialties include
oncology, renal, mental health, women's health and maternity, chronic diseases, geriatrics and cardiology.
We have remarkable strengths in chronic disease, complex care and developing innovative and sustainable healthcare solutions. Our experience at the coalface of healthcare delivery for some of Australia's most culturally and socioeconomically diverse and vulnerable populations provides us with unique insights into the most pressing health challenges.
Western Health operates four acute public hospitals: Sunshine Hospital (including Joan Kirner Women's and Children's), Footscray Hospital, Williamstown Hospital and Bacchus Marsh Hospital. We also operate Sunbury Community Hospital, Sunshine Mental Health and Wellbeing Centre, Melton Health and Community Services, Bacchus Marsh Community Health Centre, Caroline Springs Community Health Centre and Grant Lodge Residential Aged Care in Bacchus Marsh. Western Health also provides the primary healthcare service at the Dame Phyllis Frost Centre, a women's prison located in Ravenhall.
Why join us?
Compensation and benefits
Competitive salary packages aligned with market standards.
Health and wellbeing programs, including flexible work arrangements.
Scholarships and grants to support your continuous learning journey.
Learning and development opportunities
Access the Western Health Learning Academy (WHA) for personalised learning pathways.
Professional growth programs, including postgraduate studies and clinical education.
Mentorship and career support.
Community impact and inclusion
Make a meaningful difference in patients' lives through compassionate care.
Join a workforce that champions diversity and inclusion.
Engage in community wellbeing initiatives and groundbreaking healthcare research.
Organisational culture and environment
Thrive in a collaborative, compassionate and innovative team environment.
Be part of a culture that celebrates continuous improvement and excellence in healthcare.
Ready to make an impact?
Simply click on the ""apply"" button and follow the prompts.
If you are currently employed at Western Health, please ensure you sign in through the 'Employee Login' via the external Careers Page or access the Careers Page via the intranet before applying.
Closing date:
11:59pm on 15 August 2025.
Enquiries:
For further information about this role, contact Stuart Dawes (Manager - Performance Reporting & Analytics) via email
Stuart.Dawes@wh.org.au
.
Western Health is an equal opportunity employer committed to attracting and retaining diversity in our workforce. We encourage applications from Aboriginal and Torres Strait Islander people.
Western Health is committed to providing a safe environment for the children and young people who are involved in our services, sites and operations. We follow and abide by all legislative requirements to keep children and young people safe.
All appointments are made subject to a satisfactory Police Record Check, an Immunisation Status Clearance and a Working with Children Check (if applicable).
Western Health does not accept unsolicited resumes/applications from recruitment agencies."
Data Analyst,Western Health,Footscray,"Excellent data management and problem skills, a strong eye for detail, and the ability to apply your analytical and critical thinking...",https://www.seek.com.au/job/86244700?type=standard&ref=search-standalone&origin=cardTitle#sol=c760dc6bfff4eb3b5cd9a854f7c86cbd7dbaf6b0,"About you:
Excellent data management and problem skills, a strong eye for detail, and the ability to apply your analytical and critical thinking skills
Advanced proficiency with R, SQL, Power-BI and Microsoft Excel (including use of Power Query)
Proven ability to design, develop, and implement reports and analyses for end-users to meet their specific data needs
Relevant tertiary qualification in data science, analytics, or similar, or proven success in a similar role
About Western Health
Western Health is one of the largest healthcare providers in Victoria, caring for a vibrant, diverse and rapidly growing community of one million people in Melbourne’s western suburbs.
With more than 13,000 staff, Western Health delivers 800,000+ occasions of care every year, providing high-quality, person-centred care across every life stage.
We provide a combination of hospital, community-based, at-home and in-reach services to aged, adult and paediatric patients and newborn babies. Specialties include oncology, renal, mental health, women’s health and maternity, chronic diseases, geriatrics and cardiology.
We have remarkable strengths in chronic disease, complex care and developing innovative and sustainable healthcare solutions. Our experience at the coalface of healthcare delivery for some of Australia’s most culturally and socioeconomically diverse and vulnerable populations provides us with unique insights into the most pressing health challenges.
Western Health operates four acute public hospitals: Sunshine Hospital (including Joan Kirner Women’s and Children’s), Footscray Hospital, Williamstown Hospital and Bacchus Marsh Hospital. We also operate Sunbury Community Hospital, Sunshine Mental Health and Wellbeing Centre, Melton Health and Community Services, Bacchus Marsh Community Health Centre, Caroline Springs Community Health Centre and Grant Lodge Residential Aged Care in Bacchus Marsh. Western Health also provides the primary healthcare service at the Dame Phyllis Frost Centre, a women’s prison located in Ravenhall.
Why join us?
Compensation and benefits
Competitive salary packages aligned with market standards.
Health and wellbeing programs, including flexible work arrangements.
Scholarships and grants to support your continuous learning journey.
Learning and development opportunities
Access the Western Health Learning Academy (WHA) for personalised learning pathways.
Professional growth programs, including postgraduate studies and clinical education.
Mentorship and career support.
Community impact and inclusion
Make a meaningful difference in patients’ lives through compassionate care.
Join a workforce that champions diversity and inclusion.
Engage in community wellbeing initiatives and groundbreaking healthcare research.
Organisational culture and environment
Thrive in a collaborative, compassionate and innovative team environment.
Be part of a culture that celebrates continuous improvement and excellence in healthcare.
Ready to make an impact?
Simply click on the “apply” button and follow the prompts.
If you are currently employed at Western Health, please ensure you sign in through the 'Employee Login' via the external Careers Page or access the Careers Page via the intranet before applying.
Closing date: 11:59pm on 15 August 2025.
Enquiries:
For further information about this role, contact Charles Alpren (Deputy Director - Public Health Unit) via email .
Western Health is an equal opportunity employer committed to attracting and retaining diversity in our workforce. We encourage applications from Aboriginal and Torres Strait Islander people.
Western Health is committed to providing a safe environment for the children and young people who are involved in our services, sites and operations. We follow and abide by all legislative requirements to keep children and young people safe.
All appointments are made subject to a satisfactory Police Record Check, an Immunisation Status Clearance and a Working with Children Check (if applicable).
Western Health does not accept unsolicited resumes/applications from recruitment agencies."
Senior Analyst,Alfred Health,Melbourne VIC,"Permanent Full Time (1.0 EFT / 80 Hours) + ADO
Managers and Administrative Worker Grade 5
Location: The Alfred 541 St Kilda Road
Great Staff Benefits",https://www.seek.com.au/job/86301836?type=standard&ref=search-standalone&origin=cardTitle#sol=a2dd63ba4a6b95cc398e0aa6d24687430a929591,"Alfred Health
Alfred Health is a leader in health care delivery, improvement, research and education. We are the main provider of health services to people living in the inner southeast suburbs of Melbourne, from ambulatory to inpatient and home and community-based services.
Permanent Full Time (1.0 EFT / 80 Hours) + ADO
Managers and Administrative Worker Grade 5
Location: The Alfred 541 St Kilda Road
Great Staff Benefits
About us
Data and Analytical Services (DAS)  provides specialised data management, analysis and reporting services to Alfred Health in addition to providing application support for key corporate applications.
The Clinical Performance Unit is a team within Data and Analytical Services, Finance whose role is to provide integrated information reporting and analytical expertise across Alfred Health relating to:
Key datasets including casemix, inpatient, emergency, waiting list, outpatient, allied health and others as required.
Quality and business key performance indicators
Population data and demand projections for service planning
Benchmarking data
The Clinical Performance Unit is also responsible for key data submissions to external parties including Department of Health (DoH).
About the role
This role is responsible for ensuring smooth operational delivery of information used across Alfred Health.
The role will involve driving delivery of reporting products and dashboards used to support internal and external stakeholders in relation to operational and clinical information.
A key component of this role is to provide a higher level of in-depth analysis to better understand issues that have a wider organisational impact on the delivery of safe, timely, high quality patient care.
This is achieved through the role's client-focused approach that involves getting out amongst health service staff and being a part of their discussions regarding performance, health outcomes and strategic planning
About you
Analytical and problem-solving skills with attention to detail and data rigor
Experience working in the health sector and knowledge of Public Health
Experience in working with large complex data sets
Ability to work independently and within a team environment
Highly developed communication and interpersonal skills
Ability to liaise at all levels of the organisation
Good organisational, time management, written and verbal skills
An ability to prioritise competing requirements into a program of work so that key stakeholders are clear on priorities, timelines
Qualification & Experience Requried
Tertiary qualifications and/or extensive experience in an appropriate health, business or technology field
Very good IT skills with experience working with SQL databases and reporting/dashboard tools
Performance reporting, data analysis and data modelling experience
Benefits
A chance to further your career in health analytics as part of a dynamic team.
Salary Packaging
Discount Health Insurance
Car Parking (subject to availability)
Child-care services
Generous leave entitlements
All enquiries to Nyssa Dalton - Manager, CPU
n.dalton@alfred.org.au
Applications Close: 11pm AEST, Sunday 24th August 2025
Alfred Health is an equal opportunity employer and is committed to attracting and retaining a diverse workforce that reflects the community we serve.  Applications from Aboriginal and Torres Strait Islanders are encouraged.
In accordance with the Health Services Amendment (Mandatory Vaccination of Healthcare Workers) Act 2020, health care workers in Category A or B roles (as determined by the department’s risk ratings) are required to be vaccinated against influenza or hold an acceptable medical exemption.
Website: www.alfredhealth.org.au"
Graduate Reporting Analyst,Teachers Health Fund,Sydney NSW,"Start your data career with purpose, impact, and growth at Teachers Healt",https://www.seek.com.au/job/86332428?type=standard&ref=search-standalone&origin=cardTitle#sol=e5bc2dea8f67c840785291b0024060457ad55b55,"Graduate Reporting Analyst
We’re on the lookout for a curious, driven and detail-oriented Graduate Reporting Analyst to join our Data & Analytics team. If you're passionate about turning data into actionable insights and ready to kickstart your career in a purpose-led organisation, this could be the opportunity you’ve been waiting for.
As part of a team that supports data-driven decision-making across the business, you’ll be supported to grow your technical skills, gain exposure to a wide variety of projects, and contribute to work that directly improves the experience of our members.
What we have to offer?
We at Teachers Health have a lot to offer,
Attractive leave benefits
Hybrid working model (flex your work/life balance)
Subsidised private health insurance and discounts on our products and services
Easily accessible by public transport
Well-being and employee support program
Who are we?
Teachers Health was created by teachers for teachers over 70 years ago and is the only health fund exclusively for the education community. As a not-for-profit health fund, we exist for our members covering the lives of over 400,000 teachers, education staff & their families.
What will you do? / How will you help?
As a Graduate Reporting Analyst, you’ll:
Support the development and delivery of reporting solutions across the organisation
Assist in building and embedding dashboards and self-service reports (Power BI and others)
Analyse and explore data to identify trends, insights, and anomalies
Collaborate with stakeholders across data, CX, finance, and business units
Support data quality, governance, and reporting accuracy
Participate in ad-hoc analysis, monthly reporting, and customer insights initiatives
Contribute to the growth of a data-driven culture by supporting self-service adoption
What do you need? /What are we looking for?
We’re looking for someone who is ready to learn, grow and contribute from day one. Ideally, you’ll have:
Required:
A recent degree in Business Analytics, Data Science, Statistics, Information Systems or similar
Foundational Power BI and Excel skills (pivot tables, formulas, etc.)
SQL knowledge and solid computer literacy
Good problem-solving and communication skills
Experience working with data through university projects or internships
A genuine interest in using data to make a difference
You must be an Australian Citizen or Permanent Resident to be considered for this role.
Nice to have:
Exposure to CRM platforms like Salesforce
Awareness of Python, Databricks or Synapse
Experience presenting data insights to peers or stakeholders
Interest in the healthcare or private health insurance industry
Remuneration may vary based on location
How do I apply?
Click APPLY NOW to submit your updated CV, along with an optional cover letter or a 60-second introduction video sharing why you’d be a great fit for the role.
Teachers Health values diversity and inclusion and encourages applications from people with diverse backgrounds including First Nations people, people with disability, people from diverse cultural and linguistic backgrounds, and people that identify as LGBTQIA+. Applicants can request an adjustment at any stage during the recruitment process by getting in touch with
jobs@teachershealth.com.au"
Drug and Alcohol Data Support Officer,Northern Sydney Local Health District,St Leonards,Utilise your training and resource development skills to assist clinicians in mastering the electronic medical records for positive health outcomes.,https://www.seek.com.au/job/86241752?type=standard&ref=search-standalone&origin=cardTitle#sol=0c561d1713eeff79f48526059d5f4b81fb6869c8,"Utilise your training and resource development skills to assist clinicians in mastering the electronic medical record to produce high quality data and health outcomes.
Employment Type
: Permanent Part Time
Position Classification
: Health Manager (Level 1)
Remuneration
: $42.58 - $56.65 per hour
Hours Per Week
: 23
Requisition ID
: REQ592157
Who we are
: We are a health service that touches thousands of lives across the Northern Sydney Local Health District, together as a team of like-minded people. We are passionate, driven and have the skills and knowledge to care for our patients whilst creating the best services possible. Our teams have meaningful, interesting and rewarding work everyday. We challenge and nurture each other, sharing our knowledge and experience so that we can deliver better care for everyone There’s a real sense of belonging here because we value and respect our patients, employees, and teams’ voices. You’ll feel a real privilege being a trusted caregiver in our patients, their families, their carers, and our communities’ lives.
NSLHD is proud of our diverse and inclusive workplaces, a place where health care professionals can thrive and feel they belong. We are committed to ensure that all our people feel respected and participate safely within a work environment without aggression, sexual harassment, discrimination and racism.
Where you'll be working
Drug and Alcohol NSLHD - Royal North Shore, Hornsby, Northern Beaches.
What you'll be doing
The purpose of the position is to support intake, data collection, data administration, data analysis and data quality for NSLHD Drug & Alcohol Service (DAS). The position holder will assist with service delivery via change request development, specification, acceptance testing, training and evaluation. The position holder will support staff to accurately account for the complexity of the work they deliver via education and support, with particular focus on the D&A clinical documentation suite. The position holder will support data projects and data collections such as the NSW AODTS MDS and Non admitted Patient Data Collection.
People of Aboriginal and/or Torres Strait Islander background are encouraged to apply.
Candidates will need to meet the following criteria:
Appropriate tertiary qualifications and/or demonstrated relevant, equivalent professional experience such as data manager, data analyst, systems or database administrator, or similar roles.
Demonstrated high level understanding and knowledge in clinical data administration, data cleansing and data maintenance within a health E-Systems environment.
Demonstrated experience in education training, resource development & the ability to be a point of contact for clinicians to seek assistance in troubleshooting with e-system compliance.
Need more information?
1) Click here for the
Position Description
2) Find out more about
applying for this position
For role related queries or questions contact Anne-Marie Hall on
AnneMarie.Hall@health.nsw.gov.au
The team enriching health in millions of ways every day
Applications Close: 12 August 2025"
Data Analyst - Ability Roundtable,Ability First Australia,Sydney NSW,"Join the leader in disability sector benchmarking, driving service improvements for members and better outcomes for people with disability.",https://www.seek.com.au/job/85660319?type=standard&ref=search-standalone&origin=cardTitle#sol=c1e6dc28a1575325ab72ba51bb30313bc8a4b50a,Job description not found or job no longer advertised
Technical Analyst,Independent Health and Aged Care Pricing Authority,Sydney NSW,IHACPA is looking for a motivated Technical Analyst to join the Aged Care Pricing section,https://www.seek.com.au/job/85825048?type=standard&ref=search-standalone&origin=cardTitle#sol=105a0e6bb643ac7ef3d4a3dc6a2ed34ac6998a1d,Job description not found or job no longer advertised
Data Officer,Western Health,St Albans,"The Data Officer supports data management, reporting, and quality assurance for AOD programs, ensuring accurate submissions & performance monitoring",https://www.seek.com.au/job/86185375?type=standard&ref=search-standalone&origin=cardTitle#sol=65b0af7914c589a09d076a3b2e32354abc6bb658,"Location:
Footscray Hospital
Employment Type:
Ongoing, Part Time (16 hours per week)
Salary:
HS2-HS3
About the role
The Data Officer at Drug Health Services supports service planning, performance monitoring, and government reporting through expert data management and analysis. This role ensures accurate data submission to the Victorian Alcohol and Drug Collection (VADC) and contributes to quality assurance across a range of community and hospital-based alcohol and other drug programs.
This part-time ongoing position involves collaboration across campuses and with external partners.
Key responsibilities:
Assist in preparing reports for Drug Health Services.
Support the monthly submission of Victorian Alcohol and Drug Collection (VADC) data.
Assist in identifying and resolving data integrity issues.
Participate in system maintenance.
About you:
High-level proficiency in Microsoft Office, especially Excel
Experience in data reporting, analysis, and issue resolution
Strong communication and interpersonal skills to liaise with diverse stakeholders
Ability to work independently and within a team
Experience supporting staff training on data systems
Understanding of data integrity and confidentiality
Experience with health data systems (HMS, EMR, REDCap, Power BI) is a plus
Prior experience in public health or Alcohol and Other Drug services is desirable
Position Description
About Western Health
Western Health is one of the largest healthcare providers in Victoria, caring for a vibrant, diverse and rapidly growing community of one million people in Melbourne's western suburbs.
With more than 13,000 staff, Wester Health delivers 800,000+ occasions of care every year, providing high-quality, person-centred care across every life stage.
We provide a combination of hospital, community-based, at home and in-reach services to aged, adult and paediatric patients and newborn babies.  Specialities include oncology, renal, mental health, women's health and maternity, chronic diseases, geriatrics and cardiology.
We have remarkable strength in chronic disease, complex care and developing innovative and sustainable healthcare solutions.  Our experience at the coalface of healthcare delivery for some of Australia's most culturally and socioeconomically diverse and vulnerable populations provides us with unique insights into the most pressing health challenges.
Western Health operates four acute public hospitals: Sunshine Hospital (including Joan Kirner Women's and Children's), Footscray Hospital, Williamstown Hospital and Bacchus Marsh Hospital. We also operate Sunbury Community Hospital, Sunshine Mental Health and Wellbeing Centre, Melton Health and Community Services, Bacchus Marsh Community Health Centre, Caroline Springs Community Health Centre and Grant Lodge Residential Aged Care in Bacchus Marsh. Western Health also provides the primary healthcare service at the Dame Phyllis Frost Centre, a women's prison located in Ravenhall.
Why join us?
Compensation and benefits
Competitive salary packages aligned with market standards.
Health and wellbeing programs, including flexible work arrangements.
Scholarships and grants to support your continuous learning journey.
Learning and development opportunities
Access the Western Health Learning Academy (WHA) for personalised learning pathways.
Professional growth programs, including postgraduate studies and clinical education.
Mentorship and career support.
Community impact and inclusion
Make a meaningful difference in patients' lives through compassionate care.
Join a workforce that champions diversity and inclusion.
Engage in community wellbeing initiatives and groundbreaking healthcare research.
Organisational culture and environment
Thrive in a collaborative, compassionate and innovative team environment.
Be part of a culture that celebrates continuous improvement and excellence in healthcare.
Ready to make an impact?
If you're passionate about data in a healthcare setting, we'd love to hear from you. Simply click on the ""apply"" button and follow the prompts.
If you are currently employed at Western Health, please ensure you sign in through the 'Employee Login' via the external Careers Page or access the Careers Page via the intranet before applying.
Closing date:
11:59pm on 15 August 2025.
Enquiries:
For further information about this role, contact Francine Walshe
Francine.Walshe@wh.org.au
or on
0435 228 954
.
Western Health is an equal opportunity employer committed to attracting and retaining diversity in our workforce. We encourage applications from Aboriginal and Torres Strait Islander people.
Western Health is committed to providing a safe environment for the children and young people who are involved in our services, sites and operations. We follow and abide by all legislative requirements to keep children and young people safe.
All appointments are made subject to a satisfactory Police Record Check, an Immunisation Status Clearance and a Working with Children Check (if applicable).
Western Health does not accept unsolicited resumes/applications from recruitment agencies."
